CustomerID,Segment,City,Country,State,Market
20755,Consumer,Caguas,Puerto Rico,PR,Pacific Asia
19492,Consumer,Caguas,Puerto Rico,PR,Pacific Asia
19491,Consumer,San Jose,EE. UU.,CA,Pacific Asia
19490,Home Office,Los Angeles,EE. UU.,CA,Pacific Asia
19489,Corporate,Caguas,Puerto Rico,PR,Pacific Asia
19488,Consumer,Tonawanda,EE. UU.,NY,Pacific Asia
19487,Home Office,Caguas,Puerto Rico,PR,Pacific Asia
19486,Corporate,Miami,EE. UU.,FL,Pacific Asia
19485,Corporate,Caguas,Puerto Rico,PR,Pacific Asia
19484,Corporate,San Ramon,EE. UU.,CA,Pacific Asia
19483,Corporate,Caguas,Puerto Rico,PR,Pacific Asia
19482,Consumer,Freeport,EE. UU.,NY,Pacific Asia
19481,Corporate,Salinas,EE. UU.,CA,Pacific Asia
19480,Corporate,Caguas,Puerto Rico,PR,Pacific Asia
19479,Corporate,Peabody,EE. UU.,MA,Pacific Asia
19478,Corporate,Caguas,Puerto Rico,PR,Pacific Asia
19477,Corporate,Canovanas,Puerto Rico,PR,Pacific Asia
19476,Corporate,Paramount,EE. UU.,CA,Pacific Asia
19475,Consumer,Caguas,Puerto Rico,PR,Pacific Asia
19474,Consumer,Mount Prospect,EE. UU.,IL,Pacific Asia
19473,Corporate,Long Beach,EE. UU.,CA,Pacific Asia
19472,Corporate,Caguas,Puerto Rico,PR,Pacific Asia
19471,Corporate,Rancho Cordova,EE. UU.,CA,Pacific Asia
19470,Corporate,Caguas,Puerto Rico,PR,Pacific Asia
19469,Corporate,Billings,EE. UU.,MT,Pacific Asia
19468,Corporate,Caguas,Puerto Rico,PR,Pacific Asia
19467,Consumer,Wilkes Barre,EE. UU.,PA,Pacific Asia
19466,Corporate,Caguas,Puerto Rico,PR,Pacific Asia
19465,Corporate,Roseville,EE. UU.,MI,Pacific Asia
19464,Consumer,Bellflower,EE. UU.,CA,Pacific Asia
19463,Consumer,Caguas,Puerto Rico,PR,Pacific Asia
19462,Consumer,Wheaton,EE. UU.,IL,Pacific Asia
19461,Consumer,Caguas,Puerto Rico,PR,Pacific Asia
19460,Consumer,Detroit,EE. UU.,MI,Pacific Asia
19459,Consumer,Dallas,EE. UU.,TX,Pacific Asia
19458,Corporate,Caguas,Puerto Rico,PR,Pacific Asia
19457,Corporate,Carlisle,EE. UU.,PA,Pacific Asia
19456,Corporate,Dallas,EE. UU.,TX,Pacific Asia
19455,Consumer,Caguas,Puerto Rico,PR,Pacific Asia
19454,Consumer,Newark,EE. UU.,DE,Pacific Asia
19453,Consumer,Panorama City,EE. UU.,CA,Pacific Asia
19452,Home Office,Caguas,Puerto Rico,PR,Pacific Asia
19451,Home Office,Atlanta,EE. UU.,GA,Pacific Asia
19450,Home Office,Caguas,Puerto Rico,PR,Pacific Asia
19449,Consumer,Fremont,EE. UU.,CA,Pacific Asia
19448,Corporate,Caguas,Puerto Rico,PR,Pacific Asia
19447,Corporate,Rochester,EE. UU.,NY,Pacific Asia
19446,Corporate,Dallas,EE. UU.,TX,Pacific Asia
9083,Home Office,Bayamon,Puerto Rico,PR,Pacific Asia
4741,Home Office,Caguas,Puerto Rico,PR,Pacific Asia
639,Home Office,Caguas,Puerto Rico,PR,Pacific Asia
9702,Home Office,Caguas,Puerto Rico,PR,Pacific Asia
9114,Home Office,Caguas,Puerto Rico,PR,Pacific Asia
1362,Home Office,Caguas,Puerto Rico,PR,Pacific Asia
8011,Home Office,Caguas,Puerto Rico,PR,Pacific Asia
3296,Home Office,Caguas,Puerto Rico,PR,USCA
3182,Home Office,Caguas,Puerto Rico,PR,USCA
7864,Home Office,Caguas,Puerto Rico,PR,USCA
11169,Home Office,Caguas,Puerto Rico,PR,USCA
5197,Home Office,Caguas,Puerto Rico,PR,Africa
1535,Home Office,Caguas,Puerto Rico,PR,Africa
6122,Home Office,Caguas,Puerto Rico,PR,Africa
9451,Home Office,Caguas,Puerto Rico,PR,Africa
542,Home Office,Caguas,Puerto Rico,PR,Europe
11329,Home Office,Caguas,Puerto Rico,PR,Europe
3570,Home Office,Caguas,Puerto Rico,PR,Europe
650,Home Office,Caguas,Puerto Rico,PR,Europe
9353,Home Office,Caguas,Puerto Rico,PR,Europe
54,Home Office,Caguas,Puerto Rico,PR,Europe
12151,Home Office,Caguas,Puerto Rico,PR,Europe
10018,Home Office,Caguas,Puerto Rico,PR,Europe
4936,Home Office,Caguas,Puerto Rico,PR,Europe
8707,Home Office,Caguas,Puerto Rico,PR,LATAM
1025,Home Office,Caguas,Puerto Rico,PR,LATAM
8831,Home Office,Caguas,Puerto Rico,PR,LATAM
10679,Home Office,Caguas,Puerto Rico,PR,LATAM
5007,Home Office,Caguas,Puerto Rico,PR,LATAM
9854,Home Office,Caguas,Puerto Rico,PR,LATAM
376,Home Office,Caguas,Puerto Rico,PR,LATAM
5417,Home Office,Caguas,Puerto Rico,PR,LATAM
10759,Home Office,Caguas,Puerto Rico,PR,LATAM
8541,Home Office,Caguas,Puerto Rico,PR,LATAM
3752,Home Office,Caguas,Puerto Rico,PR,LATAM
4673,Home Office,Caguas,Puerto Rico,PR,LATAM
5367,Home Office,Caguas,Puerto Rico,PR,LATAM
10485,Home Office,Caguas,Puerto Rico,PR,LATAM
9272,Home Office,Caguas,Puerto Rico,PR,LATAM
647,Consumer,Caguas,Puerto Rico,PR,LATAM
6398,Consumer,Caguas,Puerto Rico,PR,LATAM
4209,Consumer,Caguas,Puerto Rico,PR,LATAM
8917,Consumer,Caguas,Puerto Rico,PR,LATAM
7784,Consumer,Caguas,Puerto Rico,PR,LATAM
1425,Consumer,Caguas,Puerto Rico,PR,LATAM
2737,Consumer,Caguas,Puerto Rico,PR,LATAM
6428,Consumer,Caguas,Puerto Rico,PR,LATAM
6543,Consumer,Caguas,Puerto Rico,PR,LATAM
3990,Consumer,Guayama,Puerto Rico,PR,LATAM
8524,Consumer,Caguas,Puerto Rico,PR,LATAM
9204,Consumer,Caguas,Puerto Rico,PR,LATAM
11761,Consumer,Caguas,Puerto Rico,PR,LATAM
9554,Consumer,Caguas,Puerto Rico,PR,LATAM
5118,Consumer,Caguas,Puerto Rico,PR,LATAM
5506,Consumer,Caguas,Puerto Rico,PR,LATAM
1423,Consumer,Caguas,Puerto Rico,PR,LATAM
138,Consumer,Caguas,Puerto Rico,PR,LATAM
6360,Consumer,Caguas,Puerto Rico,PR,LATAM
2053,Consumer,Caguas,Puerto Rico,PR,LATAM
10344,Consumer,Juana Diaz,Puerto Rico,PR,LATAM
3375,Consumer,Caguas,Puerto Rico,PR,LATAM
1339,Consumer,Caguas,Puerto Rico,PR,LATAM
7247,Consumer,Caguas,Puerto Rico,PR,LATAM
1273,Consumer,Caguas,Puerto Rico,PR,LATAM
6277,Consumer,Caguas,Puerto Rico,PR,LATAM
7701,Consumer,Caguas,Puerto Rico,PR,LATAM
4126,Consumer,Caguas,Puerto Rico,PR,LATAM
9528,Consumer,Caguas,Puerto Rico,PR,LATAM
1853,Consumer,Caguas,Puerto Rico,PR,LATAM
11149,Consumer,Caguas,Puerto Rico,PR,LATAM
5828,Consumer,Caguas,Puerto Rico,PR,LATAM
6887,Consumer,Caguas,Puerto Rico,PR,LATAM
4781,Consumer,Caguas,Puerto Rico,PR,LATAM
10668,Consumer,Caguas,Puerto Rico,PR,LATAM
5421,Consumer,Caguas,Puerto Rico,PR,LATAM
10200,Consumer,Caguas,Puerto Rico,PR,LATAM
11254,Consumer,Caguas,Puerto Rico,PR,LATAM
11106,Consumer,Caguas,Puerto Rico,PR,LATAM
8456,Consumer,Caguas,Puerto Rico,PR,LATAM
6149,Consumer,Caguas,Puerto Rico,PR,LATAM
1473,Consumer,Caguas,Puerto Rico,PR,LATAM
1840,Consumer,Caguas,Puerto Rico,PR,Africa
6757,Consumer,Caguas,Puerto Rico,PR,Africa
3972,Consumer,Caguas,Puerto Rico,PR,Africa
9316,Consumer,Caguas,Puerto Rico,PR,Africa
11213,Consumer,Caguas,Puerto Rico,PR,Africa
3474,Consumer,Caguas,Puerto Rico,PR,Africa
14630,Consumer,Caguas,Puerto Rico,PR,Europe
13256,Consumer,Caguas,Puerto Rico,PR,Europe
14665,Consumer,Caguas,Puerto Rico,PR,Europe
13363,Consumer,Caguas,Puerto Rico,PR,Europe
14645,Consumer,Caguas,Puerto Rico,PR,Europe
13163,Consumer,Caguas,Puerto Rico,PR,Europe
14553,Consumer,Caguas,Puerto Rico,PR,Europe
14287,Consumer,Caguas,Puerto Rico,PR,Europe
13179,Consumer,Caguas,Puerto Rico,PR,Europe
13035,Consumer,Caguas,Puerto Rico,PR,Europe
14322,Consumer,Caguas,Puerto Rico,PR,Europe
13196,Consumer,Caguas,Puerto Rico,PR,Europe
14604,Consumer,Caguas,Puerto Rico,PR,Europe
12961,Consumer,Caguas,Puerto Rico,PR,Europe
14676,Consumer,Caguas,Puerto Rico,PR,Europe
14087,Consumer,Caguas,Puerto Rico,PR,Europe
13194,Consumer,Caguas,Puerto Rico,PR,Europe
14513,Consumer,Caguas,Puerto Rico,PR,Europe
13461,Consumer,Caguas,Puerto Rico,PR,Europe
14510,Consumer,Caguas,Puerto Rico,PR,Europe
13190,Consumer,Caguas,Puerto Rico,PR,Europe
14508,Consumer,Caguas,Puerto Rico,PR,Europe
14472,Consumer,Caguas,Puerto Rico,PR,Europe
14562,Consumer,Caguas,Puerto Rico,PR,Europe
13206,Consumer,Caguas,Puerto Rico,PR,Europe
13080,Consumer,Caguas,Puerto Rico,PR,Europe
14633,Consumer,Caguas,Puerto Rico,PR,Europe
14097,Consumer,Caguas,Puerto Rico,PR,Europe
13024,Consumer,Caguas,Puerto Rico,PR,Europe
778,Consumer,Caguas,Puerto Rico,PR,Europe
7146,Consumer,Caguas,Puerto Rico,PR,Europe
6365,Consumer,Caguas,Puerto Rico,PR,Europe
8422,Consumer,Caguas,Puerto Rico,PR,Europe
3784,Consumer,Caguas,Puerto Rico,PR,Europe
10519,Consumer,Caguas,Puerto Rico,PR,Europe
7132,Consumer,Caguas,Puerto Rico,PR,Europe
3709,Consumer,Caguas,Puerto Rico,PR,Europe
1509,Consumer,Freeport,EE. UU.,NY,USCA
1636,Consumer,Fort Washington,EE. UU.,MD,USCA
2784,Consumer,Bakersfield,EE. UU.,CA,USCA
9174,Consumer,Corona,EE. UU.,NY,USCA
122,Consumer,Cincinnati,EE. UU.,OH,USCA
3800,Consumer,Germantown,EE. UU.,MD,USCA
10029,Consumer,Carrollton,EE. UU.,TX,USCA
2805,Consumer,Houston,EE. UU.,TX,USCA
12253,Consumer,Carlisle,EE. UU.,PA,USCA
3528,Consumer,Los Angeles,EE. UU.,CA,USCA
11018,Consumer,Ewa Beach,EE. UU.,HI,USCA
3222,Consumer,Lakewood,EE. UU.,NJ,USCA
6246,Consumer,Rome,EE. UU.,NY,Africa
8741,Consumer,Vista,EE. UU.,CA,Africa
8050,Consumer,Fort Worth,EE. UU.,TX,Africa
5474,Consumer,Fond Du Lac,EE. UU.,WI,Africa
474,Consumer,Philadelphia,EE. UU.,PA,Africa
12255,Consumer,Ontario,EE. UU.,CA,Africa
10288,Consumer,Oviedo,EE. UU.,FL,Africa
4717,Consumer,Buffalo,EE. UU.,NY,Africa
4799,Consumer,Honolulu,EE. UU.,HI,Africa
4533,Consumer,Oceanside,EE. UU.,CA,Africa
12383,Consumer,North Tonawanda,EE. UU.,NY,Africa
3518,Consumer,Clovis,EE. UU.,CA,Africa
4674,Consumer,Jamaica,EE. UU.,NY,Africa
8519,Consumer,Granite City,EE. UU.,IL,Africa
5302,Consumer,Medford,EE. UU.,MA,Africa
3594,Consumer,Pomona,EE. UU.,CA,Africa
9890,Consumer,Tempe,EE. UU.,AZ,Africa
1410,Consumer,Santa Ana,EE. UU.,CA,Africa
7521,Consumer,York,EE. UU.,PA,Africa
2106,Consumer,Aurora,EE. UU.,CO,Africa
8144,Consumer,Simi Valley,EE. UU.,CA,Africa
5643,Consumer,Silver Spring,EE. UU.,MD,Africa
2041,Consumer,Saint Paul,EE. UU.,MN,Africa
7537,Consumer,San Antonio,EE. UU.,TX,Africa
3056,Consumer,Philadelphia,EE. UU.,PA,Africa
7967,Consumer,Philadelphia,EE. UU.,PA,Africa
