ProductID,ProductName,ProductPrice,CategoryID,CategoryName,DepartmentID,DepartmentName,ProductStatus,ABC_Class
1360,Smart watch ,327.75,73,Sporting Goods,2,Fitness,0,C
365,Perfect Fitness Perfect Rip Deck,59.99000168,17,Cleats,4,Apparel,0,A
627,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,29,Shop By Sport,5,Golf,0,B
502,Nike Men's Dri-FIT Victory Golf Polo,50.0,24,Women's Apparel,5,Golf,0,A
278,Under Armour Men's Compression EV SL Slide,44.99000168,13,Electronics,3,Footwear,0,C
249,Under Armour Women's Micro G Skulpt Running S,54.97000122,12,Boxing & MMA,3,Footwear,0,C
191,Nike Men's Free 5.0+ Running Shoe,99.98999786,9,Cardio Equipment,3,Footwear,0,A
917,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,41,Trade-In,6,Outdoors,0,C
828,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977,37,Electronics,6,Outdoors,0,C
642,Columbia Men's PFG Anchor Tough T-Shirt,30.0,29,Shop By Sport,5,Golf,0,C
818,Titleist Pro V1x Golf Balls,47.99000168,37,Electronics,6,Outdoors,0,C
825,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977,37,Electronics,6,Outdoors,0,C
306,Polar FT4 Heart Rate Monitor,89.98999786,38,Kids' Golf Clubs,6,Outdoors,0,C
977,ENO Atlas Hammock Straps,29.98999977,44,Hunting & Shooting,7,Fan Shop,0,C
44,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168,3,Baseball & Softball,2,Fitness,0,C
251,Brooks Women's Ghost 6 Running Shoe,89.98999786,12,Boxing & MMA,3,Footwear,0,C
403,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,18,Men's Footwear,4,Apparel,0,B
957,Diamondback Women's Serene Classic Comfort Bi,299.980011,43,Camping & Hiking,7,Fan Shop,0,A
1352,Industrial consumer electronics,252.8800049,65,Consumer Electronics,10,Technology,0,C
1349,Web Camera,452.0400085,62,Cameras ,10,Technology,0,C
1351,Dell Laptop,1500.0,64,Computers,10,Technology,0,B
60,SOLE E25 Elliptical,999.9899902,4,Basketball,2,Fitness,0,C
24,Elevation Training Mask 2.0,79.98999786,2,Soccer,2,Fitness,0,C
567,adidas Men's Germany Black Crest Away Tee,25.0,26,Girls' Apparel,5,Golf,0,C
893,Team Golf Pittsburgh Steelers Putter Grip,24.98999977,40,Accessories,6,Outdoors,0,C
924,Glove It Urban Brick Golf Towel,15.98999977,41,Trade-In,6,Outdoors,0,C
905,Team Golf Texas Longhorns Putter Grip,24.98999977,40,Accessories,6,Outdoors,0,C
564,Nike Men's Deutschland Weltmeister Winners Bl,30.0,26,Girls' Apparel,5,Golf,0,C
885,Team Golf St. Louis Cardinals Putter Grip,24.98999977,40,Accessories,6,Outdoors,0,C
1363,Summer dresses,215.8200073,76,Women's Clothing,4,Apparel,0,C
1353,Porcelain crafts,461.480011,66,Crafts,4,Apparel,0,C
1357,Men's gala suit,210.8500061,70,Men's Clothing,4,Apparel,0,C
906,Team Golf Tennessee Volunteers Putter Grip,24.98999977,40,Accessories,6,Outdoors,0,C
886,Team Golf San Francisco Giants Putter Grip,24.98999977,40,Accessories,6,Outdoors,0,C
926,Glove It Imperial Golf Towel,15.98999977,41,Trade-In,6,Outdoors,0,C
